item_id,original_name,approved_name,aliases,approval_policy,approved_at,source_url
516,蕃薯,番薯,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/516/cRO
536,,冰淇淋,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/536/cRO
548,起士,吉士,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/548/cRO
549,美味蕃薯,美味番薯,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/549/cRO
559,手制巧克力,手工巧克力,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/559/cRO
560,手制巧克力,手工巧克力,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/560/cRO
561,白色巧克力,白色情人巧克力,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/561/cRO
576,榴梿,榴莲,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/576/cRO
579,好吃的鱼,美味的鱼,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/579/cRO
581,食用香菇,食用蘑菇,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/581/cRO
582,柳橙,橙子,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/582/cRO
584,黑轮汤,串汤,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/584/cRO
586,母亲的小蛋糕,妈妈的蛋糕片,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/586/cRO
587,红色榴梿,红色榴莲,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/587/cRO
588,义大利面,意大利面,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/588/cRO
589,比萨,披萨,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/589/cRO
590,纽结饼,炸圈,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/590/cRO
591,鱼子酱烙饼,鱼子酱蛋饼,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/591/cRO
592,草莓酱烙饼,草莓酱蛋饼,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/592/cRO
593,蜂蜜烙饼,蜂蜜蛋饼,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/593/cRO
594,酸奶油烙饼,奶油酱蛋饼,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/594/cRO
595,洋菇烙饼,蘑菇蛋饼,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/595/cRO
619,青涩苹果,青苹果,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/619/cRO
658,组织的团结力。,组织的团结力,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/658/cRO
686,地震术等级3,地震术 等级3,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/686/cRO
687,地震术等级5,地震术 等级5,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/687/cRO
688,冰箭术等级3,冰箭术 等级3,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/688/cRO
689,冰箭术等级5,冰箭术 等级5,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/689/cRO
690,火箭术等级3,火箭术卷轴Lv3,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/690/cRO
691,火箭术等级5,火箭术卷轴Lv5,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/691/cRO
692,雷击术等级3,雷击术 等级3,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/692/cRO
693,雷击术等级5,雷击术 等级5,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/693/cRO
694,圣灵召唤等级3,圣灵召唤 等级3,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/694/cRO
695,圣灵召唤等级5,圣灵召唤 等级5,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/695/cRO
696,火球术等级1,火球术 等级1,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/696/cRO
697,火球术等级5,火球术 等级5,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/697/cRO
698,火焰之壁等级1,火焰之壁 等级1,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/698/cRO
699,火焰之壁等级5,火焰之壁5级卷轴,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/699/cRO
700,冰冻术等级1,冰冻术 等级1,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/700/cRO
1057,蛾蝶虫翅膀粉末,蛾蝶翅膀粉末,,user_approved_simplified_chinese,2026-07-21,https://www.divine-pride.net/database/item/1057/cRO
1138,妖剑 弑光,妖剑 弑光,妖剑 弒光,user_approved_chinese_variant_alias,2026-07-21,https://www.divine-pride.net/database/item/1138/cRO
